"","B","C","D","F","G","ro","sigma","delta","min1","min2","min3","Q1","Q2","Q3","Q4","Q5","od","do"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,214
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,428
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,642
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,856
"5",0.6143565589,1.6434282513,-5.196713832,-4.1791443724,6.7180415009,1.0618304788,0.0002519836,0.0015639507,2.201e-07,4.95e-08,4.08e-08,-0.0003945472,-0.0007013938,-0.0006102393,-0.0072657509,-0.0039892604,857,1070
"6",24.9249949462,-9.7739575973,-1.4499443406,5.6522750838,0.9681650757,1.0512693131,0.0002759657,-0.002225843,5.886e-07,0,9.8e-09,0.0242449931,0.0064200241,-0.0021944644,-0.1416310592,0.0012975338,1071,1284
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285,1500
"8",2.8557562512,-1.7146279941,-6.1600672826,-5.1987490658,17.2424929529,0.0458691381,0.0018890085,0.0002802574,0.0023701226,1.69e-08,3.62e-08,-0.0322986921,-0.0454515326,-0.8151975151,-0.5825721529,-27.4624659287,1,428
"9",3.1571061779,-1.9552895779,-5.1640711943,-5.3934349105,12.9763164229,0.013782479,0.0019843175,-0.0001005549,0.0024247255,1.91e-08,5.08e-08,-0.2315514646,-0.0132197467,-0.1854867494,-9.2493408173,-21.9600201004,215,642
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,856
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643,1070
"12",3.1623082513,-2.1536360216,-4.9145433229,-4.0290035307,9.9824769507,0.0842707796,0.0020324244,1.4185e-06,0.0024029146,2.09e-08,7.02e-08,-0.0429769169,-0.0272583968,-0.0135306668,-0.4001924454,-0.1346740403,857,1284
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,1500
"14",3.0247249737,-1.9417321276,-5.1992994308,-4.5654763689,11.6547186313,0.0226915205,0.0019736796,0.0001510959,0.0015359657,1.36e-08,3.09e-08,-0.0023337091,-0.0010752096,-0.0126708105,-0.2103758998,-1.2189894044,1,642
"15",3.0627321398,-2.0182218631,-4.936500099,-4.2932406501,10.2444496942,0.0169576819,0.0020039567,-0.0001479763,0.0016674055,1.65e-08,3.18e-08,-0.0053290833,-0.0024715334,-0.0329739216,-0.0918428526,-0.0454150977,215,856
"16",3.0571130406,-1.9899467165,-5.1218681677,-4.198568891,10.344558141,0.0577085378,0.0020904283,-8.79224e-05,0.001629634,1.67e-08,2.86e-08,-0.0083718655,-0.0004570222,-0.0178193611,-0.0578514644,-0.149096191,429,1070
"17",3.0497117445,-2.0692449821,-4.9737645454,-4.0160247863,10.0432634729,0.0639416245,0.0020673162,-8.02512e-05,0.001608689,1.45e-08,2.99e-08,-0.0030844958,-0.0036922228,-0.0017845935,-0.0093221968,-0.0092098202,643,1284
"18",3.0892448485,-2.023607897,-4.9812553952,-4.1070082038,10.0310306908,0.0569051188,0.0020239678,4.91761e-05,0.0015666176,1.42e-08,3.11e-08,-0.0078556633,-0.0006014929,-0.0008452119,-0.0192130711,-0.0070099499,857,1500
"19",3.0209741904,-1.9967229629,-5.0007452751,-4.135538094,10.1452050761,0.0256429745,0.0020168618,2.14148e-05,0.0011771236,1.28e-08,2.38e-08,-0.0009617965,-0.0001207387,-0.0011134015,-0.0234156868,-0.0310159795,1,856
"20",3.0095691802,-1.9827510719,-5.0656064575,-4.0807929621,10.1633767544,0.0486966361,0.0020507618,-0.0001219884,0.0012014898,1.02e-08,1.97e-08,-0.0002167821,-0.00021087,-0.0029084114,-0.0031484519,-0.011528476,215,1070
"21",3.0310233571,-2.0034402317,-5.0194770978,-4.111296021,10.1262601301,0.0507665929,0.0020629617,-6.40352e-05,0.001206674,1.24e-08,2.65e-08,-0.0013268936,-0.0003330597,-0.0004246331,-0.0065517528,-0.006884167,429,1284
"22",2.9828743871,-1.9960779624,-5.0085158676,-3.9953238336,10.0323458501,0.0472858926,0.0020515575,-5.842e-06,0.0011857433,1.31e-08,2.37e-08,-0.0004897466,-0.0001713633,-0.0004351049,-0.0062691789,-0.0053452773,643,1500
"23",2.9991153399,-1.9899750099,-5.0231523438,-4.0379730964,10.0672683303,0.0481887792,0.0020266192,-1.2086e-06,0.0009461907,8.3e-09,1.57e-08,-0.0001589007,-7.21453e-05,-0.0005813607,-0.0017631747,-0.0018918946,1,1070
"24",3.0174053276,-1.9944368432,-5.0231918458,-4.0939154786,10.115371958,0.0450902155,0.0020342282,-9.42677e-05,0.0009575452,8.2e-09,1.86e-08,-0.0001884478,-3.88583e-05,-0.0003710473,-0.002553327,-0.0039976885,215,1284
"25",3.0069410772,-1.9955145815,-5.0099226864,-4.0568847801,10.0664140756,0.0388294537,0.0020535936,-8.0874e-06,0.0009476668,1.19e-08,2.27e-08,-0.0001638123,-0.0001076863,-0.0002989957,-0.0016606371,-0.0022730013,429,1500
"26",3.0044091747,-1.9915906202,-5.01804961,-4.0597090169,10.0812664703,0.0452419865,0.0020206909,1.74842e-05,0.0007840131,7e-09,1.51e-08,-7.29446e-05,-3.28473e-05,-0.0002284222,-0.0010851539,-0.0017263109,1,1284
"27",3.0109915887,-1.9973430559,-5.0076560281,-4.0643710048,10.0675841945,0.0366455261,0.0020202538,-4.93041e-05,0.0007956884,7.5e-09,1.54e-08,-0.0001175025,-3.06192e-05,-0.0001485644,-0.0013419916,-0.0015002281,215,1500
