"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.3775,0.001,0,2.9892581077,-1.9813269686,-5.0670190219,-4.0047794678,10.1832906798,0.5029700716,0.0011222215,6.95712e-05,0.0113933873,4.42e-08,6.28e-08,-0.0006735546,-0.0002137144,-0.0012189266,-0.0091837917,-0.0139677038
3,-2,-5,-4,10,0.3775,0.001,0.0002502,3.0233805218,-2.0367762347,-4.9310033636,-3.9112803024,9.7723368041,0.5092745929,0.0007655603,3.01449e-05,0.0145068335,3.57e-08,4.86e-08,-0.0006466709,-0.0002356481,-0.0012766182,-0.0067462951,-0.013602874
3,-2,-5,-4,10,0.3775,0.001,0.0002867,3.0349439442,-2.0055666676,-4.9822093507,-4.1347618336,10.0445282033,0.3367287818,0.0010956485,0.0002618294,0.0126938433,4.59e-08,6.99e-08,-0.0006405178,-0.0001760045,-0.0009667427,-0.0091319916,-0.0129390083
3,-2,-5,-4,10,0.3775,0.001,0.0003284,2.9939126666,-1.9809162355,-5.0108579048,-4.1054431447,10.0488215167,0.4254618273,0.0010574166,0.0004887639,0.0100079235,3.82e-08,5.03e-08,-0.0005193605,-0.0002191381,-0.0014211092,-0.0072296987,-0.0164377388
3,-2,-5,-4,10,0.3775,0.001,0.0003798,3.0561888551,-2.0020814191,-4.9769972613,-4.2646754683,10.1531752971,0.4286533317,0.0010501879,0.000412733,0.0109527311,4.8e-08,5.05e-08,-0.0005583114,-0.0002335892,-0.001285173,-0.0065936366,-0.0134627674
3,-2,-5,-4,10,0.3775,0.001,0.000444,3.0181203421,-2.0243151484,-4.9492940768,-3.9501640658,9.8197019522,0.3289644194,0.0010099163,0.0004388748,0.0102787,4.73e-08,5.66e-08,-0.0005333193,-0.0002188833,-0.0011428827,-0.0063577439,-0.0146997577
3,-2,-5,-4,10,0.3775,0.007862069,0,2.9389913716,-2.0158443875,-4.9861581023,-3.547399883,9.5375606841,0.458338913,0.0084250726,0.0017683176,0.0120622903,2.867e-06,3.7241e-06,-0.0045309111,-0.0016058327,-0.0086312067,-0.0577766644,-0.0926038147
3,-2,-5,-4,10,0.3775,0.007862069,0.0002502,2.9501038935,-1.9935547187,-5.0014678631,-3.7108998704,9.70700845,0.4083473355,0.0049214182,-0.0041605304,0.0178057891,6.154e-07,1.1263e-06,-0.003477618,-0.0008584065,-0.0051722357,-0.0460601165,-0.0350951085
3,-2,-5,-4,10,0.3775,0.007862069,0.0002867,2.875287715,-1.9744107478,-5.0988217102,-3.5554904546,9.7547196047,0.289113148,0.0072022346,-0.0006491553,0.0155664231,1.9446e-06,3.9346e-06,-0.0048518257,-0.0017873869,-0.0099676766,-0.0522738743,-0.0798013918
3,-2,-5,-4,10,0.3775,0.007862069,0.0003284,3.0636641352,-2.011654163,-5.0014519648,-4.1942984717,10.1326438783,0.2946912943,0.0045681514,-0.0011311983,0.0163297194,5.343e-07,1.1766e-06,-0.0034828719,-0.0008766655,-0.0045259094,-0.0522465163,-0.0485067913
3,-2,-5,-4,10,0.3775,0.007862069,0.0003798,3.1070978262,-2.0374951221,-4.9551203916,-4.321011115,10.2607286969,0.4274785502,0.007931854,0.001025829,0.0119470401,2.0296e-06,3.4109e-06,-0.0068934624,-0.001751258,-0.0100076826,-0.0820563325,-0.0959406687
3,-2,-5,-4,10,0.3775,0.007862069,0.000444,3.034291794,-1.9967435192,-5.0242882333,-4.1745229065,10.3058737326,0.2730392926,0.0079110242,0.0012463722,0.0128282927,2.5698e-06,4.8658e-06,-0.0057278592,-0.0018738118,-0.0105003881,-0.0708728187,-0.114093745
3,-2,-5,-4,10,0.3775,0.0147241379,0,3.0854545379,-2.0940655783,-4.8144027042,-3.9940442943,9.6576865305,0.3323721672,0.0129369694,-0.0013376458,0.0149679396,5.9483e-06,1.15468e-05,-0.0104300801,-0.0030094475,-0.0192318393,-0.1290984919,-0.1772961418
3,-2,-5,-4,10,0.3775,0.0147241379,0.0002502,3.0661556852,-2.0653252523,-4.7798499376,-4.0723985294,9.5696638331,0.4361435649,0.0077066499,-0.0025075515,0.0158643312,2.3176e-06,4.5378e-06,-0.0053656314,-0.0018785346,-0.0127237618,-0.0667610119,-0.1284308709
3,-2,-5,-4,10,0.3775,0.0147241379,0.0002867,3.0486216382,-2.0251422773,-5.0549278601,-3.8353294535,9.7809769536,0.1719780577,0.0159649257,0.0030274226,0.0121258466,1.245e-05,2.27252e-05,-0.0098557887,-0.0037915771,-0.0227632535,-0.1173390042,-0.2424828318
3,-2,-5,-4,10,0.3775,0.0147241379,0.0003284,2.9159419778,-1.9139600777,-5.1927964784,-4.0490372057,10.4829921803,0.366461142,0.0149710827,0.0042836409,0.0119140562,8.6113e-06,1.25487e-05,-0.008803082,-0.0028999371,-0.0160985601,-0.1072398944,-0.1858640231
3,-2,-5,-4,10,0.3775,0.0147241379,0.0003798,3.0296054661,-2.0264601023,-4.8626167484,-4.1968333013,10.0339128116,0.4807687365,0.012081621,-0.0026699722,0.0135793612,4.9691e-06,8.7642e-06,-0.0086600444,-0.0024130082,-0.013668567,-0.1148212245,-0.1494620514
3,-2,-5,-4,10,0.3775,0.0147241379,0.000444,2.8428765994,-2.0326910827,-5.0498790587,-2.9820001528,9.5862318547,0.4287576004,0.0147645663,0.0008249665,0.0135596246,8.5055e-06,1.35586e-05,-0.0081965562,-0.0026478036,-0.0160621304,-0.101101654,-0.1452400443
3,-2,-5,-4,10,0.3775,0.0215862069,0,3.0533909827,-2.0914183708,-4.7133649555,-4.0011597291,9.5821503555,0.5583859036,0.0253850036,-0.0007150394,0.0104164034,2.17017e-05,2.86667e-05,-0.0154787207,-0.00501919,-0.0308808413,-0.2087634263,-0.2538256879
3,-2,-5,-4,10,0.3775,0.0215862069,0.0002502,2.8480329974,-1.8702243602,-5.2789274087,-3.8007219185,10.2646999908,0.2707830522,0.0238205663,0.004484881,0.0137345843,1.72759e-05,3.09767e-05,-0.0142612131,-0.0042249916,-0.0226428964,-0.178777474,-0.2249269683
3,-2,-5,-4,10,0.3775,0.0215862069,0.0002867,3.1531728694,-2.0828126083,-4.7534214174,-4.4475008224,9.5260960193,0.3129960833,0.0200707375,-0.0008601757,0.0137177269,1.17895e-05,2.3636e-05,-0.0177279858,-0.0047671775,-0.0260751215,-0.2013785423,-0.2133292029
3,-2,-5,-4,10,0.3775,0.0215862069,0.0003284,3.0833150824,-1.9693506642,-5.0727173524,-4.5885539592,10.8249625833,0.6295569629,0.0184820344,-0.0096591295,0.0091085304,9.8406e-06,1.98742e-05,-0.0195639961,-0.0045039677,-0.0230134089,-0.2298485511,-0.2086124856
3,-2,-5,-4,10,0.3775,0.0215862069,0.0003798,2.9826444134,-2.1028550597,-4.6415911645,-3.6865908852,8.8689744674,0.2633895641,0.0301609753,0.0118841545,0.0100339036,4.48279e-05,6.78697e-05,-0.0231314788,-0.0073391208,-0.0370289692,-0.2250495369,-0.3452958085
3,-2,-5,-4,10,0.3775,0.0215862069,0.000444,2.8341385511,-1.9291173183,-5.2415621152,-3.6025984595,10.119400511,0.4842303441,0.024598469,0.0056942345,0.0116927866,2.37279e-05,3.20024e-05,-0.0163303329,-0.0039490697,-0.0236503172,-0.2154613078,-0.2914341423
3,-2,-5,-4,10,0.3775,0.0284482759,0,3.1357895741,-1.9679667508,-5.0361209143,-4.769874884,10.2535140699,0.4973232023,0.024759764,-0.0002447985,0.0125482324,2.36945e-05,3.63982e-05,-0.0187706435,-0.00626309,-0.0339600427,-0.2233616095,-0.3642127893
3,-2,-5,-4,10,0.3775,0.0284482759,0.0002502,3.0408488506,-2.1837189423,-4.5107581462,-3.2724189197,8.198086565,0.5195949761,0.0271427533,-0.0209944965,0.012160264,1.82957e-05,3.48366e-05,-0.0219842725,-0.006064472,-0.0366117065,-0.2808335308,-0.2585683331
