"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
3,-2,-5,-4,10,0.8,0.005,0.001,3.0204170721,-1.9254578444,-4.8756281558,-4.6163025612,9.2025027807,0.7890398448,0.0026157469,-0.0017734138,0.8933108017,9.3971e-06,1.51402e-05,-0.0208233173,-0.0108417337,-0.0829473037,-0.2903992654,-0.8949104524,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.7706465788,-1.6943365196,-5.4961009581,-4.8540381927,11.6897710264,-0.6038436937,0.0014806872,0.0006113054,0.1003867739,1.4898e-06,6.4767e-06,-0.0096121598,-0.0037623114,-0.0277234255,-0.0954537029,-0.2657159999,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.2375671613,-2.2369254789,-4.556426811,-4.0146446893,9.2107666046,0.2865195377,0.0020567336,0.0015018536,0.2554750714,3.7394e-06,6.5834e-06,-0.0351511347,-0.0275084559,-0.1114370884,-0.113034129,-0.8849689449,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,1.7854845449,-1.4261215553,-3.6821456336,-3.3782522917,3.0224462868,1.712200695,-9.2381e-05,-0.0003414114,0.1050007513,4.94284e-05,6.54721e-05,-0.0003079185,0.0001696678,-0.0027099846,-0.0093490799,-0.0520682493,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.4548285731,-2.2900094307,-4.2311320236,-4.3399110924,7.9043247138,-0.0860252148,0.0017076918,0.0003205564,0.3275521633,1.0455e-06,1.68241e-05,-0.0197212102,-0.0085509747,-0.0591583932,-0.1400634239,-0.3712328304,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.1979000819,-2.1833564048,-4.6811538808,-3.4618754563,7.7970484904,0.6162154634,0.0056555137,0.0018488321,0.4065337195,2.08146e-05,2.16067e-05,-0.0359435075,-0.0201095534,-0.1301896139,-0.445900458,-2.0859519548,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.2130412431,-2.2306844113,-4.275030611,-3.9756356987,7.7221878747,3.2049725202,-0.0056059662,0.0107701967,0.1110940657,4.60196e-05,1.88066e-05,0.0947598488,0.0236816047,0.2462081016,1.0991267911,0.905078497,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,-25.0841577222,12.4770628286,-42.123959618,53.1070590182,81.6811002822,-1.7915137521,0.0020761128,-0.1429920773,-0.4775234195,-0.0009148839,0.0256789356,-1237.1871944243,-328.5077973239,-2209.2572990468,-5450.9538773738,-8898.6239345433,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.3593952576,-1.8524679203,-4.6707920619,-2.3252291476,7.9270152116,-9.1839659724,-7.90909e-05,-0.0114913918,6.4669277833,3.4e-09,3.2393e-06,0.3278974902,0.0999950783,0.0711035345,0.4464154925,-0.5945955921,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.4328210061,-2.3103931121,-4.5583833847,-4.0334850909,9.3759288873,0.8726400814,0.0047176478,0.0014225953,0.5832611206,2.75026e-05,3.39781e-05,-0.4710456296,-0.1776758834,-0.5347852936,-1.5773935739,-1.878731345,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.8588231181,-2.0368489099,-4.5682352699,-3.58354666,8.4377190527,0.5816904433,0.0048316151,0.0039889339,0.1435708531,1.33197e-05,1.33992e-05,-0.0626511647,-0.0065317813,-0.0331470749,-0.53370526,-0.5470270428,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.3109210176,-2.1175456933,-4.871975609,-4.3806610446,9.9606883485,0.805056601,0.0009489835,-0.000979455,0.6887675712,7.759e-07,1.6841e-06,-0.012679987,-0.0087497126,-0.0744454112,-0.3480272107,-0.4023653188,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2,-5,-4,10,0.8,0.005,0.001,38.8275481283,-30.4454031934,122.5923199493,-81.2264815993,-280.926370531,16.5946169567,6.0722e-06,-0.0003157413,-55.5982407179,-7.6e-09,0.0139045233,-0.0088889465,-0.0003898683,-0.0028942048,-0.4164256968,-0.8733308535,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.3918169763,-1.7273094698,-5.4262532932,-2.438013346,9.1997078381,2.1668055337,0.0001030865,-0.0027861803,-0.1076991708,-6.7e-09,-4.8e-09,-0.0469919482,-0.007823318,-0.054278596,-0.3899899331,-0.0860087202,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.2236374664,-2.1908407278,-4.8977796918,-3.3705584163,8.6373053304,-1.3313908832,0.0013995607,-0.0252523584,-0.1400725374,-9.308e-07,0.0007170777,-0.827697699,-0.4822572634,-2.2010609412,-1.4272146729,-20.1052622916,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.7316416341,-1.7577251643,-5.2507031258,-4.1298599867,10.0117361708,-0.3730940131,0.013996039,0.0157415411,0.0120157258,6.25952e-05,7.01118e-05,-0.049879223,-0.0026422783,-0.0282881162,-1.294802559,-2.3231404777,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.4277301664,-1.751303284,-5.9620773424,-1.7352584477,10.0080731575,0.5415738507,0.0017305868,-0.001427312,-0.0027619421,1.4858e-06,1.0197e-06,-0.0250908732,-0.009220297,-0.0416273801,-0.3692867543,-0.130783473,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,4.1404021625,-2.3906173399,-4.0104074871,-7.7510734851,10.356950727,1.7760548298,0.0010348449,-0.0040672797,0.8013056166,4.74079e-05,4.68882e-05,-0.084866009,-0.0051985307,0.0170337738,-1.1180618299,-0.3480652461,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.7119074254,-1.8893975169,-6.2620800033,-1.6421556267,11.4488125291,1.138953589,-0.0075114441,-0.0100279,0.2994471554,9.5787e-06,9.9762e-06,0.0032261359,-0.017465587,0.3586178974,-0.3731028477,-1.2826597554,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.9539562184,-2.0481375777,-5.72033469,-1.7329635485,9.296373195,1.7899938792,0.0032140881,-0.0014455015,0.2501855017,1.77827e-05,1.16577e-05,-0.0557953719,-0.0453060854,-0.0667679778,0.7237031782,-0.6197642037,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.8460198316,-2.0775505823,-5.0288357114,-3.2476773096,10.6222462575,1.8688614743,0.0009886155,-0.008689517,0.496322158,4.14e-07,7.601e-06,-0.1074326593,-0.0614036392,-0.69534718,-1.1339703868,-7.979038339,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.2676553218,-2.1121602316,-4.8450258604,-4.7809857668,10.4897288831,0.2451713524,0.0058097874,0.007408685,0.1309815862,2.02337e-05,3.30285e-05,-0.1917643096,-0.0248062339,-0.1718864917,-1.462576022,-0.8029611315,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,-0.4744003805,-1.7063518841,-2.2459086379,11.5862850993,-22.6483046219,19.4073468438,-1.05951e-05,0.1892359448,-64.1802415162,-2.19e-08,0.0084594675,-0.0244098077,-0.0100079358,-0.159798887,-1.3212261955,-7.758172924,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.5152083872,-1.7702292287,-5.2140153119,-3.4336419798,10.2752349115,0.2757332414,0.004772632,-0.0062048577,0.9038695391,1.4644e-05,3.83558e-05,-0.0632629267,-0.0142196805,-0.0917558267,-0.7018626343,-0.5516026088,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,3.1027045624,-2.0025882661,-4.9676227772,-4.6583689651,10.5655487829,0.4466735638,0.0120644219,0.0077122919,0.2304832959,8.30438e-05,7.53638e-05,-0.0996843011,-0.0384510276,-0.1847428877,-1.3244152601,-1.381034924,10,10
3,-2,-5,-4,10,0.8,0.005,0.001,2.838695831,-1.7451265806,-5.7755842539,-4.1138869833,11.2395006354,-0.1288811679,0.003867886,0.0061964463,0.1014242811,2.3086e-06,6.9003e-06,-0.0361307643,-0.0034982764,-0.0052870752,-0.342058297,-0.0926227038,10,10
