"","B","C","D","F","G","ro","sigma","delta","min1","min2","min3","Q1","Q2","Q3","Q4","Q5","od","do"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,200
"3",8.4012207233,-5.8492287022,11.8717071068,-33.5759711855,33.0837423289,1.2063194867,-6.4e-09,-0.0032751533,2.08859e-05,0,8.73e-08,-0.0870006312,-0.0116652272,-0.1505642756,-2.6530244231,-4.2501205157,201,300
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,400
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,500
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,600
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,700
"8",2.8638599014,-1.8232295425,-5.7446831239,-4.520728982,14.4840591602,-0.0128799915,0.001932577,-4.817e-06,0.0053135318,3.84e-08,8.74e-08,-0.0714994007,-0.1053823173,-1.8866373963,-1.3603191071,-63.8923958791,1,200
"9",2.2832982116,-1.8896304162,-5.433664129,0.748522752,2.3941964926,0.0105740916,0.0020524908,-0.0002124842,0.0053822852,4.39e-08,1.162e-07,-0.6210071309,-0.0347775256,-0.494442185,-25.1139915784,-60.2511098674,101,300
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,400
"11",2.42947633,-1.7503268744,-4.5898474878,-3.0154229573,8.4797061505,0.0335658961,0.0018928421,0.0002276115,0.0049240308,4.18e-08,6.27e-08,-0.1494327174,-0.0403262384,-0.0515324874,-0.4495112915,-0.924257271,301,500
"12",3.0497503635,-1.9280406265,-5.0722765657,-4.2712834753,10.24217362,0.0431681622,0.0021873028,6.236e-05,0.0053674743,5.26e-08,1.749e-07,-0.0972542168,-0.0524582186,-0.0272538363,-0.869636704,-0.2933777039,401,600
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,700
"14",2.9845441081,-2.0356709279,-4.87464107,-3.6975676723,9.1304894284,0.0014669561,0.0019951129,-0.0001157294,0.0035346555,2.88e-08,6.81e-08,-0.0051918067,-0.0025266503,-0.0301755928,-0.4753057682,-2.8250297388,1,300
"15",3.1032066727,-2.0588856235,-4.7893975734,-4.4439394841,10.2684479606,0.0192344022,0.002005197,7.07955e-05,0.0033697985,3.85e-08,7.24e-08,-0.0094738773,-0.0049375857,-0.0669482875,-0.1576866042,-0.0762276514,101,400
"16",2.9459340847,-2.0057859137,-4.8459864634,-3.8950813395,9.71413845,0.0220589648,0.0019951369,9.34699e-05,0.0033493616,3.5e-08,6.04e-08,-0.0135652634,-0.0008202704,-0.0282395378,-0.0940396027,-0.2386462712,201,500
"17",2.9843946723,-1.9611863845,-5.0498755115,-4.0768109389,10.1413363389,0.0723144703,0.0021307735,0.0003768244,0.0031144974,3.63e-08,6.89e-08,-0.0056157378,-0.0065170771,-0.0034330343,-0.0182509074,-0.0188367856,301,600
"18",2.8768741534,-1.9756514778,-5.0329995809,-3.8537181489,10.0237647603,-0.0139658129,0.0020743683,0.0003979497,0.0030774327,3.41e-08,7.19e-08,-0.0165363595,-0.0012989486,-0.0018359984,-0.0397604415,-0.0150532513,401,700
"19",3.0331239865,-2.014632266,-4.9438077867,-4.1672915788,10.1398863066,0.0173516932,0.001967824,2.7923e-05,0.002552542,2.66e-08,4.97e-08,-0.0019267571,-0.0002540148,-0.0023511099,-0.0458211135,-0.058801561,1,400
"20",3.0247067407,-2.019268661,-4.9341440413,-4.0872996104,10.0054267624,0.0009470711,0.0019566239,5.41522e-05,0.0025498651,2.06e-08,3.99e-08,-0.0004491615,-0.0004211755,-0.0059528425,-0.0065224311,-0.0237167306,101,500
"21",3.0036165042,-1.9858764325,-5.0333082263,-4.0719218562,10.1267056763,0.0488631795,0.0021563126,0.0002391423,0.002376543,3.15e-08,6.53e-08,-0.0027188419,-0.0006846949,-0.0008908579,-0.0136957067,-0.0146252949,201,600
"22",2.9930011329,-1.9990586374,-5.0113599862,-4.0072267694,10.055378477,0.022436919,0.0021045683,0.0004209516,0.0021047161,3.39e-08,5.73e-08,-0.0009687227,-0.0003353707,-0.0008785331,-0.0127538428,-0.011328825,301,700
"23",3.0202257042,-2.015325043,-4.943647197,-4.0808533542,10.0143117041,0.002036958,0.0019433091,3.94024e-05,0.0020340913,1.66e-08,3.18e-08,-0.0003281215,-0.0001476601,-0.0011942574,-0.0036715765,-0.003877721,1,500
"24",3.0110727369,-1.9948434796,-5.025345581,-4.0684934456,10.1148899861,0.0285258117,0.0020665492,0.0001146597,0.002002614,1.89e-08,4.26e-08,-0.0004211319,-8.15775e-05,-0.0007759112,-0.0055999162,-0.0087816395,101,600
"25",3.0089224154,-1.9931793309,-5.0200572632,-4.0684959293,10.1038833216,0.0175243693,0.0021374794,0.0003414167,0.0017373964,3.1e-08,5.65e-08,-0.0003330224,-0.0002211168,-0.0006298209,-0.0035009321,-0.0050364903,201,700
"26",2.9888721913,-1.9960318529,-5.0019953024,-3.9880642013,10.014244305,0.0275720679,0.002045031,9.6341e-05,0.0016666068,1.57e-08,3.4e-08,-0.0001539527,-6.91658e-05,-0.0004805734,-0.0023066051,-0.0036876017,1,600
"27",3.00806049,-1.9974509652,-5.0137000775,-4.0513322073,10.0824105872,0.0057123716,0.0020377133,0.0002104168,0.0015799188,1.77e-08,3.52e-08,-0.0002464991,-6.5442e-05,-0.0003081244,-0.0027818481,-0.0032065528,101,700
