"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.01,0.001,0,3.0079634172,-2.0029700061,-4.9761785783,-4.0359033995,9.9520595963,-0.0435695572,0.0011631843,-9.26665e-05,0.0165602795,3.92e-08,8.34e-08,-0.0007446373,-0.0002169902,-0.0012449873,-0.010441963,-0.0137528028
3,-2,-5,-4,10,0.01,0.001,0.0002502,3.0137827771,-2.0071094205,-4.9851535765,-4.0509199903,10.0283467299,0.0758249329,0.0007437814,9.95539e-05,0.0117745809,2.97e-08,5.96e-08,-0.0006188574,-0.0002383275,-0.0012816215,-0.0062491143,-0.0137412527
3,-2,-5,-4,10,0.01,0.001,0.0002867,3.0150189297,-2.0000846862,-5.0131595686,-4.0653261649,10.0683510291,0.4076977424,0.0008622416,-0.0004597662,0.0137941989,1.7e-08,2.34e-08,-0.0006151381,-0.0001351956,-0.0008412596,-0.0094535067,-0.0094047682
3,-2,-5,-4,10,0.01,0.001,0.0003284,2.9996597669,-2.0033660317,-4.9954269189,-3.9975895788,10.0482798719,0.0502198912,0.0010881335,0.0006000533,0.0081596258,4.06e-08,7.69e-08,-0.0004986374,-0.0002115425,-0.0013603519,-0.0068511722,-0.0161195504
3,-2,-5,-4,10,0.01,0.001,0.0003798,2.9989884853,-1.991775177,-5.0166625187,-4.0096736954,10.0127089253,0.013626496,0.0009370339,0.0004382531,0.0075361753,4e-08,6.28e-08,-0.0004414029,-0.0001931516,-0.0010617773,-0.0052398201,-0.0114760465
3,-2,-5,-4,10,0.01,0.001,0.000444,2.9865022727,-1.9999350609,-4.9985528157,-3.9361668037,9.9641481698,0.1305148964,0.0010135636,0.0004021198,0.0086160526,5.03e-08,7.92e-08,-0.0005393051,-0.0002194092,-0.001155085,-0.006536837,-0.0148742564
3,-2,-5,-4,10,0.01,0.001,0.000527,2.9861636927,-1.9795278532,-5.0451070352,-4.0358643612,10.1239638122,0.1193966551,0.0009807992,0.0003776914,0.0098474602,3.75e-08,6.48e-08,-0.0004830573,-0.0001813148,-0.000983046,-0.006537751,-0.0119426355
3,-2,-5,-4,10,0.01,0.001,0.0006349,3.0036488752,-1.9906869976,-5.0034893095,-4.0886467067,10.0629933984,0.0970905784,0.0008882877,0.0005145919,0.0061679769,3.52e-08,5.17e-08,-0.0003640649,-0.0001470692,-0.0007925431,-0.005017954,-0.0101852162
3,-2,-5,-4,10,0.01,0.001,0.0007796,2.9744072508,-1.9817816719,-5.0201443305,-3.96376012,9.9299207836,0.0371961408,0.0008404708,0.0006458154,0.0030751138,2.78e-08,3.61e-08,-0.0003050877,-0.0001540824,-0.0008112169,-0.0033845818,-0.0092035205
3,-2,-5,-4,10,0.01,0.007862069,0,2.9095833651,-1.9530458343,-5.1136053426,-3.7666514333,10.0775817974,0.0504698371,0.0076381356,-7.8557e-05,0.0167773792,1.5591e-06,3.6051e-06,-0.0047535527,-0.0012736137,-0.0067610265,-0.0736011197,-0.0750824678
3,-2,-5,-4,10,0.01,0.007862069,0.0002502,2.9814125904,-1.9321646662,-5.1083423594,-4.2107245849,10.2290217872,0.0185099673,0.0068189496,0.0008816694,0.013556056,1.3137e-06,2.8648e-06,-0.0053380298,-0.0013251513,-0.0079936978,-0.0661875146,-0.0780013456
3,-2,-5,-4,10,0.01,0.007862069,0.0002867,3.0377835111,-2.0217479847,-4.98758963,-4.1302019188,10.2794630381,0.0529940104,0.010035212,0.0046043643,0.0079865781,4.4479e-06,8.1036e-06,-0.0054295793,-0.002014246,-0.0116224464,-0.0719485151,-0.1440722932
3,-2,-5,-4,10,0.01,0.007862069,0.0003284,2.9618199216,-2.0004637082,-5.0539239031,-3.7063429494,9.9211064613,0.2628685365,0.0050764977,-0.0034549739,0.0176966359,5.896e-07,1.2658e-06,-0.0036833714,-0.0009835044,-0.0063011449,-0.0539972107,-0.0535580111
3,-2,-5,-4,10,0.01,0.007862069,0.0003798,2.9797133866,-1.9884950619,-5.0438334391,-3.9542114968,10.1242916158,-0.0875134082,0.0042773,-0.000969307,0.0175207545,6.531e-07,1.5547e-06,-0.0027237063,-0.0010884945,-0.0074797075,-0.0341553001,-0.081779567
3,-2,-5,-4,10,0.01,0.007862069,0.000444,3.0556165799,-2.0772240867,-4.8441910846,-3.8839498353,9.6204533103,-0.0205337697,0.0093521534,0.0029606511,0.0094366309,4.3938e-06,8.0425e-06,-0.0053736151,-0.0020700005,-0.0130070532,-0.0667220608,-0.138965755
3,-2,-5,-4,10,0.01,0.007862069,0.000527,3.0365767059,-2.0088251268,-4.9592588871,-4.109322669,9.8537260097,0.0682043884,0.0066167485,-0.0019320406,0.0179422197,1.2784e-06,3.1626e-06,-0.0056241653,-0.0015780716,-0.0092569502,-0.0646473245,-0.085735972
3,-2,-5,-4,10,0.01,0.007862069,0.0006349,3.1245363021,-2.0338775489,-4.9981284704,-4.3254378433,10.2666986391,0.1185674286,0.0057123235,-0.0020778135,0.0201315209,8.977e-07,2.1524e-06,-0.0046171844,-0.0012939884,-0.0068663632,-0.0578471891,-0.0688206867
3,-2,-5,-4,10,0.01,0.007862069,0.0007796,2.9914162562,-1.9946636778,-5.0594612291,-3.9152782972,10.0702952432,0.08099918,0.0074354144,-0.0003798679,0.016069821,1.8325e-06,4.4385e-06,-0.0046294317,-0.0014511803,-0.0094714981,-0.0633857941,-0.0905070683
3,-2,-5,-4,10,0.01,0.0147241379,0,3.160082596,-2.0127288445,-4.9901698719,-4.573231069,10.3147459856,0.1466660801,0.0132487258,-0.0013704592,0.0169843183,4.848e-06,1.00751e-05,-0.0091065795,-0.0028763842,-0.0167092082,-0.122021837,-0.146454445
3,-2,-5,-4,10,0.01,0.0147241379,0.0002502,2.8832115342,-2.0116263858,-4.8789971653,-3.5787190022,9.4200647242,0.3425891253,0.012486976,0.0021119541,0.0134461408,5.2021e-06,8.6028e-06,-0.0074250523,-0.0021894395,-0.0122250897,-0.0921334112,-0.107861881
3,-2,-5,-4,10,0.01,0.0147241379,0.0002867,2.8065627888,-1.9021470028,-5.1656854831,-3.6769494216,10.1343774744,0.1083909449,0.0176793758,0.0022921653,0.0136395089,9.4763e-06,1.99135e-05,-0.009848928,-0.0032928352,-0.0190292122,-0.1250522481,-0.1838515731
3,-2,-5,-4,10,0.01,0.0147241379,0.0003284,2.8545830835,-1.9214408543,-5.0971927145,-3.7996935288,10.0349469784,-0.0313516176,0.0179853497,2.81765e-05,0.0149047227,1.04648e-05,2.22613e-05,-0.0124727256,-0.0037741418,-0.0203860084,-0.1437883147,-0.1839744992
3,-2,-5,-4,10,0.01,0.0147241379,0.0003798,2.9649873317,-2.0319289003,-4.9337027435,-3.6551841073,9.5258860706,0.0992494991,0.0131036726,-0.0056222156,0.0188230338,5.2851e-06,1.22327e-05,-0.0124862254,-0.0028505473,-0.0158091964,-0.1470236475,-0.1478964499
3,-2,-5,-4,10,0.01,0.0147241379,0.000444,2.7293992232,-1.9216808299,-5.1584965981,-3.1227213893,9.6163152943,-0.0816191231,0.0165493038,0.0066450253,0.0090583271,1.04664e-05,1.92491e-05,-0.0103012589,-0.0029392619,-0.01534198,-0.1116420743,-0.1762836213
3,-2,-5,-4,10,0.01,0.0147241379,0.000527,2.8983102333,-1.9796956949,-5.0281634424,-3.698138725,10.0027408514,0.1253284345,0.016352356,0.0069332597,0.0091872571,1.08192e-05,1.75106e-05,-0.0079106036,-0.0029969055,-0.0160683537,-0.0992137412,-0.1885715982
3,-2,-5,-4,10,0.01,0.0147241379,0.0006349,3.0775996298,-2.0535161985,-4.9777867242,-3.9887003462,9.9761207156,0.1611496595,0.0177464294,-0.0011490934,0.0156375678,9.9129e-06,2.17336e-05,-0.0136479998,-0.0040661374,-0.023274955,-0.1705603113,-0.2001160884
3,-2,-5,-4,10,0.01,0.0147241379,0.0007796,3.0665090973,-1.9664558895,-4.9965350598,-4.561428946,10.3437802585,-0.0339182707,0.0159436425,0.0120849533,0.0193896494,2.2422e-06,5.0404e-06,-0.0051505243,-0.0028109038,-0.0157982586,-0.0761281954,-0.1919009117
3,-2,-5,-4,10,0.01,0.0215862069,0,3.0894353266,-2.0396946514,-5.0372087958,-4.2249998007,10.509242348,0.1478770649,0.0229702935,-0.0059138754,0.0162783249,1.56935e-05,4.04372e-05,-0.0230135767,-0.0066132378,-0.0405142265,-0.2760469197,-0.3710646674
