"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
1,-0.25,-14,-12,60,0.4,0.05,0,0.8397062334,-0.3072442535,-13.5597446227,-9.506766827,54.5011677317,0.9983819932,0.04770774,-0.0519481709,0.0446835114,0.0011373365,0.0015292499,-0.0025383731,-0.0034473699,-0.1448994801,-1.0242637201,-4.4487123036,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.7628415048,-0.3303396216,-13.820349542,-8.4192031138,52.4853406763,-1.011585831,0.0569722289,-0.0498660148,-0.0913635771,-0.0001106892,0.0761529672,-0.0156994434,-0.0013669194,-0.2242299729,-3.2950073981,-3.6035858862,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.034499805,-0.1738945478,-14.5929860574,-13.1059564897,63.9502802286,-0.851093072,0.0099089838,0.020029309,0.0020770686,6.1571e-06,4.45393e-05,0.0042178063,3.91997e-05,-0.0358219052,0.5707356699,-4.098277909,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.1988574029,-0.3897556074,-13.4871127028,-13.1264999182,58.3099731438,-0.7478900801,0.0026334388,-0.0058298972,0.056791986,5.2103e-06,5.86397e-05,0.0002529926,-0.0004486368,-0.0360018907,-0.0219424742,-1.0322022361,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.0229974677,-0.2006344314,-14.4871321059,-12.921762595,65.0989257649,0.8893853138,0.0432124247,0.0455412629,0.0011242491,0.0009459009,0.0010091367,-0.0032223601,-0.0025997259,-0.1630005354,-0.4093955542,-13.0380368953,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.25,-14,-12,60,0.4,0.05,0,0.9383094636,-0.0542460808,-15.3552377923,-12.6288226437,67.172622622,0.0612901673,0.0457267106,-0.0457994245,0.0184919391,0.0010783343,0.0011895871,-0.0016748391,-0.0034596326,-0.1941380071,-0.6429578815,-7.4835083407,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.9995054005,-0.1269596992,-14.6775889747,-12.9502397246,65.7546107743,0.0539373468,0.0352669076,-0.0015419744,0.4789260798,0.0008382892,0.0018248117,-0.0155673974,-0.0031720183,-0.274215269,-2.9950919926,-14.0187763791,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.0382352295,-0.1156725015,-14.9038039987,-13.7466805649,67.8524014513,0.282541357,0.0612226527,-0.020413581,0.9012036607,0.0022289911,0.0027923964,-0.0059228938,-0.0110864594,-0.8156452745,-1.7434326383,-28.9863814607,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.25,-14,-12,60,0.4,0.05,0,0.9552848351,-0.2339788996,-13.7707650388,-11.5126251841,56.5407054784,0.7824832626,0.0166117314,-0.0036112429,0.8266314091,0.0001364051,0.0002572173,-0.0039542562,-0.0033723644,-0.3662355379,-1.0725437772,-18.6239654785,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.2150847244,-0.5478072037,-13.0643028315,-12.8507879619,61.0668003724,0.0834910299,0.2133226498,-0.0718555374,0.3329196233,0.0354366079,0.0421509903,-0.0811562435,-0.0957449609,-3.1050108587,-7.8376923705,-50.9951557498,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.3887423418,-0.7121566626,-10.9371041375,-13.5917717958,48.2601754563,1.7089062032,0.1611678615,-1.3900785451,0.0507766296,0.0057797102,-6.1570907521,-0.2431384887,-0.0081433704,3.0489107634,-34.3367766943,177.5826464745,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.1562260539,-0.2264792273,-13.8148978653,1.240766056,31.9580024628,-0.1649140291,0.0200873028,-0.021691587,0.5261734503,6.8302e-05,0.0004149887,-0.0654629687,-0.0050026932,-0.9898028714,-15.6254422892,-88.8764812685,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.9456180047,-0.3170945952,-13.5823271703,-11.0636518772,56.9777647962,0.3980761582,0.0815141632,-0.0824824344,0.1503909031,0.0023365795,0.0029970742,-0.0035419311,-0.0052952212,-0.5575828586,-1.723711722,-17.9742124193,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.7222044398,-0.2554375121,-14.1619278676,-8.2172015213,55.3534547451,1.1432563446,0.0172068845,0.028214409,0.0086609369,0.0002333186,0.0004817061,0.0002415565,-0.0003583269,-0.0044201304,-0.0754303263,-3.787043906,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.0910357401,-0.2847370762,-13.6371770969,-13.1132922335,57.3010044511,-0.4200856492,0.040489257,-0.0039105421,2.2574210364,0.001054575,0.0040350468,-0.0141175844,-0.0064916151,-0.3995080791,-2.1801090724,-27.2498151811,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.334932805,-0.1832369749,-14.1917205405,-1.9143997372,34.0718495852,-0.5905538247,0.0314405401,-0.0387984307,0.1757907046,0.0007003701,0.0026354934,0.0024459014,-0.0024999085,-0.0611266666,1.273051859,14.2173910066,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.25,-14,-12,60,0.4,0.05,0,0.9267247486,-0.3239764147,-14.3219111613,-10.4286215158,61.3154497501,0.6672686407,-0.0058268476,-0.0120971552,-0.0951845984,2.07747e-05,7.07885e-05,-0.0003754931,0.0012557085,0.0297766817,-0.0089509768,2.2195614777,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.2556196571,-0.4475370053,-13.0901763402,-13.6441478574,59.675298163,7.9449123123,-0.1108448367,-0.202895122,0.367736803,0.0005202854,0.0009121533,-0.2593048409,-0.0129599467,-1.1393042601,-30.3943242158,68.1073166094,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,1.0938913862,-0.1618019553,-14.0801649811,-13.6567572843,59.0818807967,1.1500502609,0.1298601456,-0.1432986787,0.0094719371,0.0019998239,0.0023308699,-0.0419543237,-0.0135953847,-1.3668152681,-7.5740649692,-34.8016806534,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.8385387671,-1.2432846226,-4.8145946348,-1.5156363014,-20.3453955755,14.5616270373,3.232e-07,0.0071307356,-161.6404157742,-7.7e-09,0.0217323714,-0.0038705333,-0.0016010153,-0.1289013196,-1.0966352237,-10.3920619075,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.25,-14,-12,60,0.4,0.05,0,0.974901902,-0.1181668678,-15.5842496422,-12.5644667293,69.581734387,-2.9732817317,0.0226600503,-0.1797910411,0.3598267337,0.0014184168,0.0079949564,0.0025357617,0.0057253383,1.2793633501,-0.4512280095,66.4843770285,10,10
1,-0.25,-14,-12,60,0.4,0.05,0,0.810939575,-0.1950024721,-14.6434636372,-9.7678754101,59.298248828,0.6190095008,0.0485169889,-0.0072074851,0.4716272164,0.0014252565,0.0018446796,-0.0045406037,-0.0036977256,-0.2824605686,-0.9748919087,-15.5248715218,10,10
