spy_ch_0,spy_s_0,aapl_ch_0,aapl_s_0,amd_ch_0,amd_s_0,msft_ch_0,msft_s_0,nvda_ch_0,nvda_s_0,spy_ch_1,spy_s_1,aapl_ch_1,aapl_s_1,amd_ch_1,amd_s_1,msft_ch_1,msft_s_1,nvda_ch_1,nvda_s_1
0.68,3579710,0.21,336853731,0.42,58478118,1.42,191471118,1.02,74594039,2.15,3625345,2.97,336506326,6.94,58149927,3.81,191387920,7.61,74430404
0.89,1216877,1.27,338364950,2.1,56140580,0.81,190496864,2.32,72536699,2.22,1037077,2.95,337953875,5.52,55878681,2.55,190348897,6.64,72422305
-0.08,2481605,-0.28,337627691,-2.11,52211836,-0.64,189457198,0.02,70170491,1.14,576509,0.6,337394966,-3.21,51844272,0.2,189377345,1.01,70085781
-0.37,80000,-0.14,335341633,-0.72,53667277,-0.5,189600626,-0.38,75009370,1.16,827123,2.1,335043760,1.59,53386910,1.88,189488580,6.86,74547136
0.04,1381399,-0.16,341187680,0.24,55557353,-0.42,189148804,0.07,72452679,-0.02,1542607,0.86,340754103,2.19,55298686,-0.42,189140925,1.04,72363866
0.33,4459765,0.07,334937638,-0.44,54434294,0.05,189313732,-0.01,71309387,1.18,4587012,2.16,334650239,-0.97,53986004,1.7,189269022,-0.78,71182338
-0.61,4887051,-0.47,337004412,-0.62,54170805,-1.17,185721637,-1.53,71154066,-1.28,5191490,0.83,346830125,-0.76,53749654,-1.53,189026227,-3.45,70897877
0.46,3500964,0.63,338761048,1.04,54119596,-0.15,190734315,2,71647293,1.47,3512875,2.25,338361748,5.79,53646903,1.55,190613323,9.83,71381455
0.14,4832430,-0.18,390464440,-0.41,52636096,0.31,194421975,-0.9,73297008,0.48,5004464,0.37,389939718,-0.74,52212592,-0.14,194276950,-1.54,73054213
-0.14,7347447,-1.44,403042193,-1.73,54975205,0.25,194920247,0.23,71145563,0.7,7322391,0.5,391454642,0.48,54254784,2.3,194774288,1.91,70800159
0.91,5568749,0.62,384043922,1.62,54911366,1,193821722,1.66,73835092,1.25,4505404,1.92,383690162,2.53,54688576,1.52,193691293,1.56,73585058
-0.23,1339520,-0.23,381878152,-0.19,55535777,-0.51,190819761,-1.25,71034646,-0.63,872115,-0.79,381456653,-3.26,55146300,-0.51,190725908,-3.36,70798680
0.37,3936171,-0.27,390302456,1.06,55253256,0.37,191732519,0.33,73258845,0.28,5029411,-0.2,389706731,-1.05,55017086,0.36,191602814,-2.1,72763272
0.05,11062054,0.23,389411585,1.38,56023125,0.33,193099692,0.09,73124093,0.85,11300011,2.39,389057687,2.19,55603297,1.84,192990405,2.46,72958644
-0.35,6408764,-0.49,389590782,-0.84,58473241,-0.53,191962742,-0.34,74168954,-1.22,6457489,-1.88,389247132,-3.37,57848774,-1.26,191868964,-5.22,73807901
-0.92,6631761,-1.63,335373571,-2.25,59177134,-1.84,190218869,-3.93,72101075,-0.99,6456003,-2.02,339007105,-3,62800945,-3.69,192192122,-5.95,74012764
-0.19,4707009,-0.41,384689839,0.23,61437627,-0.97,189677186,0.11,73802471,0.5,1398125,0.26,388165600,-0.02,65260255,0.67,191149816,-0.84,75790370
-0.14,6811817,-0.25,372155150,-1.32,59283737,-0.38,191406515,-1.29,71563439,-0.25,6746253,-1.19,375849425,-2.61,62686145,-1.45,193942190,-4.54,73557930
-0.77,6887858,-0.85,381394914,-2.53,58811583,-1.93,192234927,-4.06,71256251,-1.68,7021962,-2.55,384275431,-3.6,61876447,-3.94,194719696,-5.23,73235085
0.7,4959114,1.35,380156375,1.67,59019606,1.37,190454770,2.81,73778209,-0.39,5051513,1.14,379881820,-2.33,58726565,-1.15,190388724,-1.91,73695589
-0.07,7194487,-0.17,382448065,0.27,58534389,0.17,187533708,1,72685259,1.16,7145504,1.61,385553315,2.73,61766247,1.97,189887131,3.25,74751393
0.06,5324983,0.2,374192299,0.47,56482226,0.13,190444502,1.38,72506563,-1.21,5243311,-3,377078726,-4.81,59928782,-2.73,193335472,-4.26,74250257
